GEOID,NAME,District_Type,Total_Population,Below_Poverty,Poverty_Rate,District_Clean
1700009,"Pinckneyville School District 50, Illinois",Elementary,1782,287,16.105499438832773,pinckneyville school district 50
1700010,"Beach Park Community Consolidated School District 3, Illinois",Elementary,5332,387,7.258064516129033,beach park community consolidated school district 3
1700065,"Saunemin Community Consolidated School District 438, Illinois",Elementary,334,24,7.18562874251497,saunemin community consolidated school district 438
1700077,"Marengo-Union Elementary Consolidated District 165, Illinois",Elementary,2967,237,7.987866531850354,marengo-union elementary consolidated district 165
1700103,"New Holland-Middletown Elementary School District 88, Illinois",Elementary,304,6,1.9736842105263157,new holland-middletown elementary school district 88
1700112,"Streator Elementary School District 44, Illinois",Elementary,4098,555,13.543191800878477,streator elementary school district 44
1700119,"North Shore School District 112, Illinois",Elementary,10023,430,4.290132694801955,north shore school district 112
1700222,"Nippersink School District 2, Illinois",Elementary,3202,120,3.7476577139287945,nippersink school district 2
1700330,"Prairieview-Ogden Community Consolidated School District 197, Illinois",Elementary,705,11,1.5602836879432624,prairieview-ogden community consolidated school district 197
1701381,"La Harpe Community School District 347, Illinois",Elementary,579,52,8.981001727115718,la harpe community school district 347
1701385,"Carthage Elementary School District 317, Illinois",Elementary,1113,68,6.109613656783468,carthage elementary school district 317
1701388,"Dallas Elementary School District 327, Illinois",Elementary,544,107,19.669117647058822,dallas elementary school district 327
1701411,"East Coloma-Nelson Consolidated Elementary School District 20, Illinois",Elementary,705,36,5.106382978723404,east coloma-nelson consolidated elementary school district 20
1701419,"Spring Garden Community Consolidated School District 178, Illinois",Elementary,706,85,12.039660056657224,spring garden community consolidated school district 178
1703150,"Addison School District 4, Illinois",Elementary,9032,714,7.905225863596104,addison school district 4
1703210,"Akin Community Consolidated School District 91, Illinois",Elementary,257,51,19.844357976653697,akin community consolidated school district 91
1703270,"Albers School District 63, Illinois",Elementary,404,54,13.366336633663368,albers school district 63
1703420,"Allen Township Community Consolidated School District 65, Illinois",Elementary,333,47,14.114114114114114,allen township community consolidated school district 65
1703480,"Alsip-Hazelgreen-Oaklawn School District 126, Illinois",Elementary,3977,198,4.9786271058586875,alsip-hazelgreen-oaklawn school district 126
1703750,"Anna Community Consolidated School District 37, Illinois",Elementary,1683,227,13.48781937017231,anna community consolidated school district 37
1703840,"Antioch Community Consolidated School District 34, Illinois",Elementary,6412,291,4.538365564566438,antioch community consolidated school district 34
1703900,"Aptakisic-Tripp Community Consolidated School District, Illinois",Elementary,5173,242,4.678136477865842,aptakisic-tripp community consolidated school district
1703930,"Arbor Park School District 145, Illinois",Elementary,3421,104,3.040046769950307,arbor park school district 145
1704050,"Summit School District 104, Illinois",Elementary,2633,392,14.887960501329282,summit school district 104
1704140,"Arlington Heights School District 25, Illinois",Elementary,13452,131,0.9738328873030033,arlington heights school district 25
1704200,"Armstrong-Ellis Consolidated School District 61, Illinois",Elementary,290,14,4.827586206896552,armstrong-ellis consolidated school district 61
1704340,"Ashley Community Consolidated School District 15, Illinois",Elementary,609,60,9.852216748768473,ashley community consolidated school district 15
1704560,"Atwood Heights School District 125, Illinois",Elementary,1795,108,6.016713091922005,atwood heights school district 125
1704740,"Aviston School District 21, Illinois",Elementary,744,28,3.763440860215054,aviston school district 21
1704800,"Avoca School District 37, Illinois",Elementary,1855,134,7.223719676549865,avoca school district 37
1704950,"Bannockburn School District 106, Illinois",Elementary,405,16,3.950617283950617,bannockburn school district 106
1705160,"Bartelso School District 57, Illinois",Elementary,312,3,0.9615384615384616,bartelso school district 57
1705190,"Bartonville School District 66, Illinois",Elementary,411,33,8.02919708029197,bartonville school district 66
1705466,"Marseilles Elementary School District 150, Illinois",Elementary,1235,118,9.554655870445345,marseilles elementary school district 150
1705570,"Opdyke-Belle Rive Community Consolidated School District 5, Illinois",Elementary,498,53,10.642570281124499,opdyke-belle rive community consolidated school district 5
1705580,"Belle Valley School District 119, Illinois",Elementary,1942,191,9.835221421215241,belle valley school district 119
1705610,"Belleville School District 118, Illinois",Elementary,8064,840,10.416666666666668,belleville school district 118
1705760,"Bellwood School District 88, Illinois",Elementary,4927,460,9.336310127866856,bellwood school district 88
1705880,"Benjamin School District 25, Illinois",Elementary,2001,44,2.1989005497251375,benjamin school district 25
1705910,"Bensenville School District 2, Illinois",Elementary,4772,319,6.6848281642917025,bensenville school district 2
1705950,"Benton Community Consolidated School District 47, Illinois",Elementary,2466,319,12.935928629359287,benton community consolidated school district 47
1706000,"Berkeley School District 87, Illinois",Elementary,5151,431,8.36730731896719,berkeley school district 87
1706060,"Berwyn North School District 98, Illinois",Elementary,5380,583,10.8364312267658,berwyn north school district 98
1706090,"Berwyn South School District 100, Illinois",Elementary,7058,673,9.535279115896856,berwyn south school district 100
1706180,"Bethel School District 82, Illinois",Elementary,319,76,23.824451410658305,bethel school district 82
1706270,"Big Hollow School District 38, Illinois",Elementary,3906,169,4.326676907322068,big hollow school district 38
1706450,"Bloomingdale School District 13, Illinois",Elementary,3505,128,3.651925820256776,bloomingdale school district 13
1706510,"Cook County School District 130, Illinois",Elementary,6778,733,10.814399527884332,cook county school district 130
1706750,"Bourbonnais School District 53, Illinois",Elementary,5681,465,8.185178665727864,bourbonnais school district 53
1706840,"Braceville School District 75, Illinois",Elementary,398,55,13.819095477386934,braceville school district 75
1706930,"Bradley School District 61, Illinois",Elementary,2740,309,11.277372262773723,bradley school district 61
1707010,"Breese School District 12, Illinois",Elementary,2040,53,2.5980392156862746,breese school district 12
1707170,"Indian Springs School District 109, Illinois",Elementary,6117,782,12.784044466241623,indian springs school district 109
1707290,"Lemont-Bromberek Combined School District 113A, Illinois",Elementary,6962,360,5.170927894283252,lemont-bromberek combined school district 113a
1707320,"Brookfield School District 95, Illinois",Elementary,2718,52,1.9131714495952907,brookfield school district 95
1707740,"Buncombe Consolidated School District 43, Illinois",Elementary,206,19,9.223300970873787,buncombe consolidated school district 43
1707860,"Burnham School District 154-5, Illinois",Elementary,363,86,23.69146005509642,burnham school district 154-5
1707980,"Butler School District 53, Illinois",Elementary,1392,43,3.089080459770115,butler school district 53
1708100,"Lincoln Elementary School District 156, Illinois",Elementary,1428,283,19.817927170868348,lincoln elementary school district 156
1708130,"Calumet Public School District 132, Illinois",Elementary,2574,359,13.947163947163945,calumet public school district 132
1708310,"Carbon Cliff-Barstow School District 36, Illinois",Elementary,410,101,24.634146341463413,carbon cliff-barstow school district 36
1708340,"Carbondale Elementary School District 95, Illinois",Elementary,4163,824,19.793418208023063,carbondale elementary school district 95
1708730,"Cary Community Consolidated School District 26, Illinois",Elementary,6191,237,3.828137619124536,cary community consolidated school district 26
1708790,"Cass School District 63, Illinois",Elementary,2009,54,2.687904430064709,cass school district 63
1708970,"Center Cass School District 66, Illinois",Elementary,3456,61,1.765046296296296,center cass school district 66
1709150,"Central School District 51, Illinois",Elementary,2750,119,4.327272727272727,central school district 51
1709170,"Central School District 104, Illinois",Elementary,1276,38,2.978056426332288,central school district 104
1709180,"Central City School District 133, Illinois",Elementary,675,56,8.296296296296296,central city school district 133
1709210,"Lockport School District 91, Illinois",Elementary,1681,57,3.390838786436645,lockport school district 91
1709270,"Centralia School District 135, Illinois",Elementary,3086,529,17.141931302657163,centralia school district 135
1709510,"Chaney-Monge School District 88, Illinois",Elementary,1054,35,3.320683111954459,chaney-monge school district 88
1709540,"Channahon School District 17, Illinois",Elementary,2893,82,2.834427929484964,channahon school district 17
1709850,"Chester-East Lincoln Community Csd 61, Illinois",Elementary,801,15,1.8726591760299627,chester-east lincoln community csd 61
