GEOID,NAME,Total_Population,Below_Poverty,Poverty_Rate,County_Clean
17001,"Adams County, Illinois",17606,1553,8.820856526184254,Adams
17003,"Alexander County, Illinois",1357,270,19.896831245394253,Alexander
17005,"Bond County, Illinois",4110,315,7.664233576642336,Bond
17007,"Boone County, Illinois",13898,1019,7.331990214419341,Boone
17009,"Brown County, Illinois",1302,89,6.835637480798772,Brown
17011,"Bureau County, Illinois",9284,769,8.283067643257217,Bureau
17013,"Calhoun County, Illinois",1154,107,9.272097053726169,Calhoun
17015,"Carroll County, Illinois",4023,343,8.5259756400696,Carroll
17017,"Cass County, Illinois",3336,356,10.67146282973621,Cass
17019,"Champaign County, Illinois",42335,3849,9.091768040628322,Champaign
17021,"Christian County, Illinois",8580,727,8.473193473193472,Christian
17023,"Clark County, Illinois",4820,469,9.730290456431536,Clark
17025,"Clay County, Illinois",3818,471,12.336301728653746,Clay
17027,"Clinton County, Illinois",9583,480,5.008869873734739,Clinton
17029,"Coles County, Illinois",12001,1556,12.965586201149904,Coles
17031,"Cook County, Illinois",1183272,126696,10.707259193152547,Cook
17033,"Crawford County, Illinois",4974,422,8.48411741053478,Crawford
17035,"Cumberland County, Illinois",2947,275,9.331523583305055,Cumberland
17037,"DeKalb County, Illinois",23164,2310,9.972370920393715,DeKalb
17039,"De Witt County, Illinois",4345,357,8.216340621403912,De Witt
17041,"Douglas County, Illinois",5061,532,10.511756569847856,Douglas
17043,"DuPage County, Illinois",239160,10814,4.521659140324469,DuPage
17045,"Edgar County, Illinois",5138,499,9.711950175165434,Edgar
17047,"Edwards County, Illinois",1803,122,6.7665002773155845,Edwards
17049,"Effingham County, Illinois",9177,692,7.540590606952163,Effingham
17051,"Fayette County, Illinois",5297,678,12.799697942231452,Fayette
17053,"Ford County, Illinois",3547,362,10.205807724837891,Ford
17055,"Franklin County, Illinois",9861,1507,15.282425717472872,Franklin
17057,"Fulton County, Illinois",8828,904,10.240144993203444,Fulton
17059,"Gallatin County, Illinois",1506,235,15.604249667994688,Gallatin
17061,"Greene County, Illinois",3272,316,9.657701711491443,Greene
17063,"Grundy County, Illinois",14016,803,5.729166666666666,Grundy
