RCDTS,RCDT,Site_Number,Site_County,District_Clean,City_Clean,Site_Address,Site_Zip,School_Name_Clean,Title_1_Status,#_Student_Enrollment,%_Student_Enrollment_-_Low_Income,Student_Attendance_Rate,Student_Chronic_Truancy_Rate,Chronically_Truant_Students,High_School_Dropout_Rate_-_Total,High_School_4-Year_Graduation_Rate_-_Total,Chronic_Absenteeism,Free_Eligibles,Reduced_Eligibles,PaidEligibles,Enrollment,Eligibility_Percent,Participates_in_CEP,Poverty_Level
010010010260001,01001001026,10003,Adams,payson cusd 1,payson,420 W Brainard St,62360-1033,seymour high school,"Eligible, but Not a Participant in Title I Program",239,46.4,95.1,7.2,17,0.6,91.7,12.3,87,20,131,238,44.96,Non-CEP,Mid-Low Poverty
010010010262002,01001001026,10004,Adams,payson cusd 1,payson,404 W State St,62360-1041,seymour elementary school,Schoolwide Title I Program,316,51.9,96,4.9,12,NA,NA,7.4,127,27,130,284,54.23,Non-CEP,Mid-High Poverty
010010020260001,01001002026,10006,Adams,liberty cusd 2,liberty,505 N Park St,62347-1107,liberty high school,"Eligible, but Not a Participant in Title I Program",288,20.5,95.8,2.2,6,3,88,8.6,35,5,155,195,20.51,Non-CEP,Low Poverty
010010020262002,01001002026,10007,Adams,liberty cusd 2,liberty,505 N Park St,62347-1107,liberty elementary school,Schoolwide Title I Program,350,25.1,96.7,0.4,1,NA,NA,4.9,109,9,329,447,26.4,Non-CEP,Mid-Low Poverty
010010030260001,01001003026,10009,Adams,central cusd 3,camp point,2110 Highway 94 N,62320-2516,central high school,"Eligible, but Not a Participant in Title I Program",237,42.2,94.9,6.1,14,3.7,92.3,17.8,86,25,125,236,47.03,Non-CEP,Mid-Low Poverty
010010030261001,01001003026,10010,Adams,central cusd 3,camp point,2110 Highway 94 N,62320-2516,central junior high school,Schoolwide Title I Program,281,43.8,95.2,1.8,5,NA,NA,8.4,109,27,145,281,48.4,Non-CEP,Mid-Low Poverty
010010030262003,01001003026,10011,Adams,central cusd 3,camp point,PO Box 379,62320-0379,central elementary grade school,Schoolwide Title I Program,195,42.6,94.9,1.5,2,NA,NA,8.8,74,13,99,186,46.77,Non-CEP,Mid-Low Poverty
010010030262008,01001003026,10012,Adams,central cusd 3,golden,PO Box 219,62339-0219,central 34 middle school,Schoolwide Title I Program,124,43.5,95.6,1.6,2,NA,NA,6.4,43,13,69,125,44.8,Non-CEP,Mid-Low Poverty
010010040260001,01001004026,10014,Adams,cusd 4,mendon,PO Box 200,62351-0200,unity high school,"Eligible, but Not a Participant in Title I Program",200,34,93.7,0,0,1.5,94.9,24.5,59,13,131,203,35.47,Non-CEP,Mid-Low Poverty
010010040262006,01001004026,10018,Adams,cusd 4,mendon,136 W Washington St,62351-1223,unity elementary school,Schoolwide Title I Program,236,43.6,95.3,0,0,NA,NA,10.8,86,15,136,237,42.62,Non-CEP,Mid-Low Poverty
010010040262007,01001004026,10015,Adams,cusd 4,mendon,PO Box 200,62351-0200,unity middle school,"Eligible, but Not a Participant in Title I Program",252,37.7,95.1,0.4,1,NA,NA,13.5,76,13,159,248,35.89,Non-CEP,Mid-Low Poverty
010011720220003,01001172022,10029,Adams,quincy sd 172,quincy,3322 Maine St,62301-4439,quincy sr high school,Schoolwide Title I Program,1742,48.7,89.9,24.8,402,2.4,84.7,34,780,129,873,1782,51.01,Non-CEP,Mid-Low Poverty
010011720221003,01001172022,10030,Adams,quincy sd 172,quincy,100 S 14th St,62301-4209,quincy jr high school,Schoolwide Title I Program,1453,57.9,92.4,17,247,NA,NA,22,772,114,572,1458,60.77,Non-CEP,Mid-High Poverty
010011720222006,01001172022,10032,Adams,quincy sd 172,quincy,3111 N 12th St,NA,colonel george iles elementary school,Schoolwide Title I Program,589,68.1,94,15.8,77,NA,NA,19.1,384,28,179,591,69.709999999999994,Non-CEP,Mid-High Poverty
010011720222008,01001172022,17001,Adams,quincy sd 172,quincy,1327 S 8th St,62301-7245,sarah atwater denman elementary site 1,Schoolwide Title I Program,143,63.6,95,6.2,4,NA,NA,13.9,85,12,46,143,67.83,Non-CEP,Mid-High Poverty
010011720222016,01001172022,10035,Adams,quincy sd 172,quincy,3211 Payson Rd,62305-6441,lincolndouglas elementary school,Schoolwide Title I Program,572,55.9,94.3,8.7,40,NA,NA,14.8,310,28,242,580,58.28,Non-CEP,Mid-High Poverty
